Combined,Zillow Median
Alamo Square,4341
Anza Vista,4165
Apparel City,3996
Aquatic Park / Ft. Mason,4654
Ashbury Heights,4683
Balboa Terrace,4666
Bayview,3814
Bernal Heights,4283
Bret Harte,3783
Buena Vista,4798
Candlestick Point SRA,3783
Castro,4683
Cathedral Hill,4675
Cayuga,3648
Central Waterfront,4241
Chinatown,4605
Civic Center,3323
Clarendon Heights,4873
Cole Valley,4683
Corona Heights,4683
Cow Hollow,5563
Crocker Amazon,3754
Diamond Heights,3756
Dogpatch,4241
Dolores Heights,4683
Downtown / Union Square,3692
Duboce Triangle,4441
Eureka Valley,4683
Excelsior,3884
Fairmount,4256
Financial District,4245
Fishermans Wharf,4650
Forest Hill,4666
Forest Knolls,4666
Glen Park,4256
Golden Gate Heights,4393
Haight Ashbury,4106
Hayes Valley,4401
Holly Park,4283
Hunters Point,3783
India Basin,3814
Ingleside,3794
Ingleside Terraces,4284
Inner Richmond,4284
Inner Sunset,4187
Japantown,4675
Laguna Honda,4666
Lake Street,4345
Lakeshore,4276
Laurel Heights / Jordan Park,4750
Little Hollywood,3929
Lone Mountain,4499
Lower Haight,4341
Lower Nob Hill,4675
Lower Pacific Heights,4675
Marina,4654
Merced Heights,3463
Merced Manor,3851
Midtown Terrace,4749
Mint Hill,4076
Miraloma Park,4610
Mission,4425
Mission Bay,4241
Mission Dolores,3746
Mission Terrace,3648
Monterey Heights,4666
Mt. Davidson Manor,4666
Nob Hill,4645
Noe Valley,4645
North Beach,4650
Northern Waterfront,4526
Oceanview,4133
Outer Mission,3721
Outer Richmond,4129
Outer Sunset,4030
Pacific Heights,5055
Panhandle,4432
Parkmerced,4536
Parkside,3851
Parnassus Heights,4666
Peralta Heights,4283
Polk Gulch,4645
Portola,3749
Potrero Hill,4660
Presidio Heights,5839
Presidio National Park,3784
Presidio Terrace,5839
Produce Market,3996
Rincon Hill,4556
Russian Hill,5168
Seacliff,4911
Sherwood Forest,4666
Showplace Square,4076
Silver Terrace,3996
South Beach,4556
South of Market,4076
St. Francis Wood,4666
St. Marys Park,4283
Stonestown,4536
Sunnydale,3961
Sunnyside,3918
Sutro Heights,4129
Telegraph Hill,4526
Tenderloin,3323
Treasure Island,
Union Street,5563
University Mound,3749
Upper Market / Twin Peaks,4539
Visitacion Valley,3961
West Portal,4666
Western Addition,4442
Westwood Highlands,4159
Westwood Park,4159
Yerba Buena Island,
