Neighborhood,City,Median_Rent
Outer Sunset,San Francisco,4030.0
Mission,San Francisco,4425.0
Outer Richmond,San Francisco,4129.0
Inner Richmond,San Francisco,4284.0
Parkside,San Francisco,3851.0
South of Market,San Francisco,4076.0
Excelsior,San Francisco,3884.0
Pacific Heights,San Francisco,5055.0
Tenderloin,San Francisco,3323.0
Bernal Heights,San Francisco,4283.0
Nob Hill,San Francisco,4645.0
Portola,San Francisco,3749.0
Western Addition,San Francisco,4442.0
Bayview,San Francisco,3814.0
Potrero Hill,San Francisco,4660.0
Noe Valley,San Francisco,4645.0
Russian Hill,San Francisco,5168.0
Inner Sunset,San Francisco,4187.0
Visitacion Valley,San Francisco,3961.0
Crocker Amazon,San Francisco,3754.0
Golden Gate Heights,San Francisco,4393.0
Marina,San Francisco,4654.0
Ingleside,San Francisco,3794.0
Mission Terrace,San Francisco,3648.0
Parkmerced,San Francisco,4536.0
Silver Terrace,San Francisco,3996.0
Oceanview,San Francisco,4133.0
North Beach,San Francisco,4650.0
Lone Mountain,San Francisco,4499.0
Chinatown,San Francisco,4605.0
Sunnyside,San Francisco,3918.0
Outer Mission,San Francisco,3721.0
Panhandle,San Francisco,4432.0
Buena Vista,San Francisco,4798.0
Ingleside Heights,San Francisco,3463.0
Mission Bay,San Francisco,4241.0
Lower Pacific Heights,San Francisco,4675.0
South Beach,San Francisco,4556.0
Haight,San Francisco,4106.0
Duboce Triangle,San Francisco,4441.0
Presidio Heights,San Francisco,5839.0
Laurel Heights,San Francisco,4750.0
Hayes Valley,San Francisco,4401.0
Upper Market,San Francisco,4539.0
Miraloma Park,San Francisco,4610.0
Lakeshore,San Francisco,4276.0
Hunters Point,San Francisco,3783.0
Cow Hollow,San Francisco,5563.0
Glen Park,San Francisco,4256.0
Alamo Square,San Francisco,4341.0
Telegraph Hill,San Francisco,4526.0
Financial District,San Francisco,4245.0
Lake,San Francisco,4345.0
Downtown,San Francisco,3692.0
Diamond Heights,San Francisco,3756.0
Stonestown,San Francisco,
Clarendon Heights,San Francisco,4873.0
Anza Vista,San Francisco,4165.0
Westwood Park,San Francisco,4159.0
Sherwood Forest,San Francisco,
Ingleside Terrace,San Francisco,4284.0
Corona Heights,San Francisco,4683.0
Midtown Terrace,San Francisco,4749.0
Little Hollywood,San Francisco,3929.0
Forest Knolls,San Francisco,4666.0
Seacliff,San Francisco,4911.0
Presidio,San Francisco,3784.0
Golden Gate Park,San Francisco,3091.0
