RegionName,City,State,MedianRent
Battery Park,New York,NY,3804
Brooklyn Heights,New York,NY,2904
Carnegie Hill,New York,NY,3804
Central Park,New York,NY,3672
Chelsea,New York,NY,3842
Chinatown,New York,NY,3568
East Harlem,New York,NY,2930
East Village,New York,NY,3668
Financial District,New York,NY,3796
Flatiron District,New York,NY,3741
Garment District,New York,NY,3666
Gramercy,New York,NY,3670
Greenwich Village,New York,NY,3767
Hamilton Heights,New York,NY,2951
Harlem,New York,NY,2452
Inwood,New York,NY,2084
Little Italy,New York,NY,3677
Lower East Side,New York,NY,3473
Manhattanville,New York,NY,2660
Marble Hill,New York,NY,1818
Midtown,New York,NY,3751
Morningside Heights,New York,NY,3463
Murray Hill,New York,NY,3589
NoHo,New York,NY,4322
Roosevelt Island,New York,NY,3645
SoHo,New York,NY,3948
Sutton Place,New York,NY,3726
Tribeca,New York,NY,4781
Tudor City,New York,NY,3542
Turtle Bay,New York,NY,3540
Upper East Side,New York,NY,3330
Upper West Side,New York,NY,3672
Vinegar Hill,New York,NY,3310
Washington Heights,New York,NY,2296
West Village,New York,NY,3907
Alamo Square,San Francisco,CA,3590
Anza Vista,San Francisco,CA,3034
Bayview,San Francisco,CA,3755
Bernal Heights,San Francisco,CA,4144
Buena Vista,San Francisco,CA,3943
Chinatown,San Francisco,CA,3545
Clarendon Heights,San Francisco,CA,3607
Corona Heights,San Francisco,CA,4103
Cow Hollow,San Francisco,CA,3932
Crocker Amazon,San Francisco,CA,3658
Diamond Heights,San Francisco,CA,4307
Downtown,San Francisco,CA,3087
Duboce Triangle,San Francisco,CA,4152
Excelsior,San Francisco,CA,3615
Financial District,San Francisco,CA,3944
Forest Knolls,San Francisco,CA,3529
Glen Park,San Francisco,CA,4032
Golden Gate Heights,San Francisco,CA,3901
Golden Gate Park,San Francisco,CA,
Haight,San Francisco,CA,3090
Hayes Valley,San Francisco,CA,3833
Hunters Point,San Francisco,CA,3630
Ingleside,San Francisco,CA,3622
Ingleside Heights,San Francisco,CA,
Inner Richmond,San Francisco,CA,3539
Inner Sunset,San Francisco,CA,3428
Lake,San Francisco,CA,3345
Lakeshore,San Francisco,CA,2999
Laurel Heights,San Francisco,CA,4072
Lone Mountain,San Francisco,CA,3692
Lower Pacific Heights,San Francisco,CA,3895
Marina,San Francisco,CA,3568
Merced Manor,San Francisco,CA,3644
Midtown Terrace,San Francisco,CA,4774
Miraloma Park,San Francisco,CA,4384
Mission,San Francisco,CA,3938
Mission Bay,San Francisco,CA,4170
Mission Terrace,San Francisco,CA,3342
Nob Hill,San Francisco,CA,3599
Noe Valley,San Francisco,CA,4203
North Beach,San Francisco,CA,3989
North Waterfront,San Francisco,CA,
Oceanview,San Francisco,CA,3814
Outer Mission,San Francisco,CA,3234
Outer Richmond,San Francisco,CA,3577
Outer Sunset,San Francisco,CA,3712
Pacific Heights,San Francisco,CA,4063
Panhandle,San Francisco,CA,3725
Parkmerced,San Francisco,CA,3825
Parkside,San Francisco,CA,3480
Portola,San Francisco,CA,3546
Potrero Hill,San Francisco,CA,4407
Presidio,San Francisco,CA,3687
Presidio Heights,San Francisco,CA,3896
Russian Hill,San Francisco,CA,4464
Silver Terrace,San Francisco,CA,4338
South Beach,San Francisco,CA,4084
South of Market,San Francisco,CA,3673
Sunnyside,San Francisco,CA,3789
Telegraph Hill,San Francisco,CA,4147
Tenderloin,San Francisco,CA,2893
Upper Market,San Francisco,CA,3884
Visitacion Valley,San Francisco,CA,3887
Western Addition,San Francisco,CA,4076
Westwood Park,San Francisco,CA,3872
